Date,Real_GDP,Real_Private_Consumption,Real_Government_Consumption,Real_Investment,Real_Exports,Real_Imports,Population
2014-10-01,2178615642.0,1208762022.4,186037576.5,703806209.5,510014953.3,496361588.6,261068786.5
2015-01-01,2205428638.1,1222705556.7,188373213.5,713720634.6,507852216.1,479008010.6,261799249.0
2015-04-01,2230976381.8,1236943340.2,188455706.2,723192200.6,503264351.7,467789964.5,262506291.25
2015-07-01,2258579199.3,1252755212.9,198291317.4,732630404.3,506043855.7,464182130.4,263213333.5
2015-10-01,2287532880.8,1268026550.5,200277752.9,741812743.4,487306561.6,451958845.6,263920375.75
2016-01-01,2314818296.5,1283884434.8,193308707.8,748901460.9,485995717.6,450851733.1,264627418.0
2016-04-01,2344644370.3,1299949831.8,198382717.4,755699447.2,497418531.1,458965817.9,265307228.0
2016-07-01,2373238785.4,1315958668.7,190644236.7,763605027.6,480425494.4,445178204.5,265987038.0
2016-10-01,2401911947.7,1331877304.7,191968858.1,773378741.0,507342895.2,463137407.0,266666848.0
2017-01-01,2432412007.9,1348295046.0,197259686.8,785378248.4,522532484.3,471216488.4,267346658.0
2017-04-01,2462033897.1,1364249663.9,194918543.8,800052631.7,523210090.7,473414447.6,267997955.0
2017-07-01,2493343946.0,1381428663.9,197535300.9,814341954.9,548082743.7,503043942.0,268649252.0
2017-10-01,2525138248.9,1398319620.0,201042868.5,828990172.4,552739198.1,517144290.8,269300549.0
2018-01-01,2557067719.8,1415461331.6,202649006.9,843211528.9,564358735.7,543262718.9,269951846.0
2018-04-01,2589853860.1,1434430176.4,205530399.8,855179192.5,570959992.1,551848008.3,270586229.75
2018-07-01,2622737460.5,1451933809.7,209552293.4,867371501.6,575577686.1,558100983.7,271220613.5
2018-10-01,2656192859.6,1472600793.9,211144879.9,878548028.4,575498479.3,550058229.4,271854997.25
2019-01-01,2689375112.4,1494407366.6,211878893.3,889028495.4,567812316.4,524336346.6,272489381.0
2019-04-01,2722616908.9,1515515702.3,221483835.2,897322988.3,563080257.1,512306854.0,273070752.25
2019-07-01,2754072774.5,1522417310.6,210180365.5,904868147.4,574861098.5,511006859.8,273652123.5
2019-10-01,2783090604.2,1540086494.9,212419905.9,906444494.4,569734586.4,498594141.8,274233494.75
2020-01-01,2765766066.6,1536879701.9,218819474.2,899363485.8,563983637.0,470374802.5,274814866.0
2020-04-01,2577176022.7,1435567711.4,207533172.9,818814924.3,476973495.3,386599744.9,275300662.75
2020-07-01,2660518545.4,1462018427.1,230166184.7,842984678.0,508188282.7,401577946.0,275786459.5
2020-10-01,2719538665.3,1476064068.8,217626738.3,858018518.9,534796433.3,427451296.6,276272256.25
2021-01-01,2747386950.5,1492362813.2,224320831.4,875398875.7,577415356.3,485433658.5,276758053.0
2021-04-01,2761746203.8,1506413253.8,224916177.2,883933583.1,602420487.1,513588036.4,277276172.0
2021-07-01,2768068745.1,1493942825.4,232336474.8,888628685.1,621759323.7,527381984.4,277794291.0
2021-10-01,2842857800.5,1536354879.7,229746223.4,901257658.1,657253888.2,578713383.1,278312410.0
2022-01-01,2876278883.1,1554539055.8,209041279.7,912110685.2,672458405.0,581732286.1,278830529.0
2022-04-01,2909986201.9,1574244208.5,214170722.4,917273319.7,715706549.7,601628382.3,279420413.5
2022-07-01,2943232687.7,1587239439.8,227776863.1,924853780.0,737351100.7,633134514.2,280010298.0
2022-10-01,2980725427.2,1611824823.5,220037516.9,932335965.0,732441951.3,604298595.4,280600182.5
2023-01-01,3016871929.9,1627430851.4,214342906.8,939769492.4,737293363.1,605533169.4,281190067.0
2023-04-01,3056593500.7,1651349309.8,235848610.9,951022434.6,713228247.7,592091127.2,281764533.0
2023-07-01,3094933476.5,1670848168.8,220427719.3,961479782.8,718552951.9,587528565.4,282338999.0
2023-10-01,3133053692.8,1691014003.6,226679799.0,972950328.2,738198348.0,605529626.2,282913465.0
2024-01-01,3173046610.0,1714324435.6,253514415.4,985059548.1,749994584.9,624297008.4,283487931.0
2024-04-01,3209381173.7,1733324302.2,238612827.7,993599273.6,766268749.9,631018166.8,283487931.0
2024-07-01,3249343102.1,1755769349.0,229649211.2,1006306756.5,783831109.0,662976556.8,283487931.0
2024-10-01,3288761514.2,1776618167.8,234846857.4,1016727722.0,806379638.5,667179957.7,283487931.0
2025-01-01,3328465246.3,1796670117.4,247722102.5,1027145318.1,813497212.8,657502341.4,283487931.0
2025-04-01,3372887814.5,1821214020.1,,1044457519.2,832264484.9,685557382.3,283487931.0
2025-07-01,3416222982.6,1843005423.3,,1059563833.1,843109160.9,675095197.5,283487931.0
2025-10-01,3462948656.6,1866936965.6,,1074229924.0,836124373.2,690619601.8,283487931.0
2026-01-01,3510282996.2,1891317337.3,,1089381387.3,824652254.0,691650406.9,283487931.0
